id;name;internalName;volatile;returnClass;minParamCount;maxParamCount;params
343;DEGREES;DEGREES;0;V;1;1;VR
344;SUBTOTAL;SUBTOTAL;0;V;2;-1;VR|RO
345;SUMIF;SUMIF;0;V;2;3;RO|VR|RO
346;COUNTIF;COUNTIF;0;V;2;2;RO|VR
347;COUNTBLANK;COUNTBLANK;0;V;1;1;RO
350;ISPMT;ISPMT;0;V;4;4;VR
351;DATEDIF;DATEDIF;0;V;3;3;VR
354;ROMAN;ROMAN;0;V;1;2;VR
358;GETPIVOTDATA;GETPIVOTDATA;0;V;2;-1;RR|RR|VR
359;HYPERLINK;HYPERLINK;0;V;1;2;VV|VO
361;AVERAGEA;AVERAGEA;0;V;1;-1;RX
362;MAXA;MAXA;0;V;1;-1;RX
363;MINA;MINA;0;V;1;-1;RX
364;STDEVPA;STDEVPA;0;V;1;-1;RX
365;VARPA;VARPA;0;V;1;-1;RX
366;STDEVA;STDEVA;0;V;1;-1;RX
367;VARA;VARA;0;V;1;-1;RX
368;BAHTTEXT;BAHTTEXT;0;V;1;1;VR
480;IFERROR;IFERROR;0;V;2;2;VO|RO
481;COUNTIFS;COUNTIFS;0;V;2;-1;RO|VR
482;SUMIFS;SUMIFS;0;V;3;-1;RO|RO|VR
483;AVERAGEIF;AVERAGEIF;0;V;2;3;RO|VR|RO
484;AVERAGEIFS;AVERAGEIFS;0;V;3;-1;RO|RO|VR
255;IMAGE;_xlfn.IMAGE;0;V;1;5;VR
449;EDATE;EDATE;0;V;2;2;RR
